SDSS,RA,DEC,z,u,e_u,g,e_g,r,e_r,i,e_i,z_psf,e_z,A_u,logNH,F20cm,SN_F20cm,sep_FIRST,fR0,fR1,logX,SN_X,sep_X,J,e_J,H,e_H,K,e_K,sep_2MASS,M_i,D_gi,Morph,S,mode,utf,Tflag,Lz,Hz,fR,fX,fS,f*,fG,run,MJD_img,MJD_spec,plate,fiber,rerun,camcol,field,obj,Tflag_T,LzT,HzT,fRT,fXT,fST,f*T,fGT,u_PSF,e_u_PSF,g_PSF,e_g_PSF,r_PSF,e_r_PSF,i_PSF,e_i_PSF,z_PSF,e_z_PSF,72,73,74,75,76,77,g_minus_r,classification
151220.26+431751.2,228.084446,43.297578,1.5701,19.636,0.05,19.335,0.03,19.13,0.018,18.87,0.016,18.923,0.046,0.086,20.26,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.964,0.164,0,1,1,1,1572866,1,0,0,0,1,1,0,3964,52788,53148,1677,154,41,3,105,3,1572866,1,0,0,0,1,1,0,19.636,0.05,19.335,0.03,19.129,0.018,18.87,0.016,18.923,0.046,472261805511540736,,,,,,0.20500000000000185,quasar
151221.49-013415.0,228.089548,-1.570853,1.6681,20.304,0.057,20.023,0.027,19.795,0.023,19.33,0.022,19.214,0.071,0.71,20.718,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.898,0.24,0,1,1,1,2,1,0,0,0,0,0,0,2334,52053,52404,923,429,40,4,215,305,2,1,0,0,0,0,0,0,20.324,0.059,20.013,0.025,19.793,0.024,19.335,0.026,19.197,0.065,260026478769471488,,,,,,0.22799999999999798,quasar
151223.79+390042.0,228.099153,39.011681,0.3728,18.999,0.025,18.783,0.016,18.814,0.014,18.798,0.022,18.166,0.033,0.106,20.134,15.756,13.116,0.556,0,1,-1.28,4.896,9.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.578,-0.221,0,1,1,1,7691,1,1,1,1,0,0,0,3723,52710,53172,1399,478,40,4,29,41,7691,1,1,1,1,0,0,0,18.999,0.025,18.783,0.016,18.814,0.014,18.798,0.022,18.166,0.033,394011866424147968,,,,,,-0.030999999999998806,quasar
151224.15+323727.8,228.100628,32.624414,1.7979,19.712,0.038,19.375,0.022,19.168,0.018,18.667,0.017,18.481,0.046,0.106,20.215,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.491,0.423,0,1,1,1,1048579,1,1,0,0,1,0,0,3900,52755,53149,1649,376,41,6,609,73,1048579,1,1,0,0,1,0,0,19.713,0.038,19.375,0.022,19.167,0.018,18.666,0.017,18.481,0.046,464380511389745152,,,,,,0.20700000000000074,quasar
151224.17+465233.4,228.100749,46.875971,3.3597,22.076,0.243,19.245,0.024,18.649,0.018,18.513,0.017,18.411,0.036,0.164,20.352,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-28.075,0.113,0,1,1,1,3,1,1,0,0,0,0,0,3177,52402,52721,1050,416,40,5,131,132,1,0,1,0,0,0,0,0,21.983,0.224,19.284,0.024,18.662,0.012,18.495,0.011,18.387,0.029,295775162261831680,,,,,,0.5960000000000001,non-quasar
151226.09+342011.2,228.108729,34.336454,0.8565,17.781,0.02,17.646,0.019,17.617,0.024,17.754,0.017,17.692,0.023,0.104,20.161,0.0,0.0,0.0,0,0,-1.522,3.11,11.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.637,-0.112,0,1,1,1,1055746,1,0,0,1,1,0,0,3919,52758,53116,1386,326,40,5,156,167,1055746,1,0,0,1,1,0,0,17.781,0.02,17.645,0.019,17.617,0.024,17.755,0.017,17.692,0.023,390352450571206656,,,,,,0.028999999999999915,quasar
151228.83-011223.0,228.120155,-1.206394,1.1652,18.393,0.023,18.252,0.014,18.027,0.013,17.98,0.014,18.053,0.023,0.4,20.702,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.274,-0.1,0,1,1,1,2,1,0,0,0,0,0,0,2379,52075,52404,923,376,40,5,127,5,2,1,0,0,0,0,0,0,18.374,0.022,18.269,0.017,18.036,0.013,18.015,0.012,18.069,0.026,260026478547173376,,,,,,0.22499999999999787,quasar
151230.19+473116.2,228.125793,47.521172,0.9003,19.232,0.034,18.975,0.021,18.835,0.022,18.876,0.018,18.751,0.038,0.171,20.356,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.663,0.017,0,1,1,1,1048578,1,0,0,0,1,0,0,3180,52402,52721,1050,445,40,6,134,36,1048578,1,0,0,0,1,0,0,19.192,0.028,18.998,0.024,18.849,0.016,18.875,0.014,18.744,0.035,295775162383466496,,,,,,0.14000000000000057,quasar
151231.31+413156.3,228.130474,41.53231,0.771,19.206,0.032,19.182,0.033,19.071,0.016,19.084,0.017,18.958,0.049,0.127,20.22,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.061,0.097,0,1,1,1,1048578,1,0,0,0,1,0,0,3664,52681,52736,1292,367,40,5,109,133,1048578,1,0,0,0,1,0,0,19.276,0.026,19.221,0.058,19.071,0.017,19.088,0.018,18.913,0.046,363892170844798976,,,,,,0.1109999999999971,quasar
151231.78+535340.0,228.132423,53.894445,1.6689,18.84,0.035,18.66,0.021,18.527,0.016,18.254,0.012,18.25,0.03,0.063,20.134,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,17.189,0.199,16.434,0.275,15.811,0.217,0.681,-26.713,0.166,0,1,1,1,1048579,1,1,0,0,1,0,0,2299,52046,52370,793,43,41,2,214,173,1048579,1,1,0,0,1,0,0,18.86,0.024,18.643,0.01,18.528,0.021,18.238,0.01,18.241,0.03,223434584149196800,,,,,,0.13299999999999912,quasar
151234.10+395748.5,228.14209,39.963488,1.9511,19.051,0.023,19.043,0.014,18.957,0.016,18.713,0.02,18.584,0.04,0.086,20.155,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.626,0.144,0,1,1,1,3,1,1,0,0,0,0,0,2964,52313,52736,1292,289,40,1,533,42,3,1,1,0,0,0,0,0,19.094,0.029,19.041,0.015,18.957,0.016,18.71,0.018,18.584,0.039,363892170517643264,,,,,,0.08599999999999852,quasar
151236.33+435429.4,228.151388,43.908186,1.2876,19.815,0.04,19.479,0.025,19.142,0.018,19.05,0.019,19.121,0.048,0.106,20.276,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.323,0.139,0,1,1,1,1048578,1,0,0,0,1,0,0,3918,52758,53148,1677,481,41,4,203,185,1048578,1,0,0,0,1,0,0,19.816,0.04,19.479,0.025,19.142,0.018,19.05,0.019,19.121,0.048,472261806883078144,,,,,,0.33699999999999974,quasar
151236.60+362404.7,228.152524,36.401308,1.9486,19.528,0.041,19.387,0.019,19.254,0.017,18.931,0.019,18.872,0.046,0.087,20.137,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.405,0.265,0,1,1,1,3,1,1,0,0,0,0,0,3813,52722,53083,1353,461,41,4,450,34,2,1,0,0,0,0,0,0,19.53,0.039,19.397,0.018,19.254,0.018,18.939,0.024,18.894,0.048,381063635172065280,,,,,,0.13299999999999912,quasar
151236.95+553901.0,228.153974,55.650303,1.3614,19.262,0.028,19.249,0.013,19.013,0.018,18.954,0.019,18.947,0.047,0.08,20.155,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.541,0.016,1,1,1,1,2,1,0,0,0,0,0,0,2326,52052,52370,793,579,41,6,217,48,2,1,0,0,0,0,0,0,19.279,0.026,19.265,0.013,19.001,0.017,18.941,0.022,18.955,0.044,223434586397343744,,,,,,0.2359999999999971,quasar
151238.52+360718.8,228.160525,36.121904,1.4332,19.349,0.032,19.256,0.018,19.231,0.019,19.126,0.018,19.143,0.048,0.081,20.14,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.491,-0.153,0,1,1,1,1572866,1,0,0,0,1,1,0,3818,52724,53083,1353,477,41,4,393,55,1048578,1,0,0,0,1,0,0,19.348,0.03,19.273,0.018,19.198,0.022,19.129,0.016,19.138,0.046,381063635239174144,,,,,,0.02499999999999858,quasar
151239.11+450523.1,228.162991,45.089754,0.4438,18.645,0.045,18.363,0.019,18.242,0.015,18.075,0.025,17.881,0.025,0.145,20.322,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,16.729,0.189,15.809,0.225,14.821,0.155,0.107,-23.736,0.09,0,1,1,1,2,1,0,0,0,0,0,0,3180,52402,52721,1050,257,40,1,143,104,2,1,0,0,0,0,0,0,18.586,0.019,18.361,0.009,18.24,0.011,18.056,0.014,17.92,0.018,295775161594937344,,,,,,0.12099999999999866,quasar
151240.22+434528.2,228.167597,43.757856,1.2126,19.372,0.033,19.33,0.022,18.96,0.014,18.831,0.019,18.809,0.048,0.102,20.272,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.397,0.203,0,1,1,1,2,1,0,0,0,0,0,0,3964,52788,53148,1677,494,41,4,103,54,2,1,0,0,0,0,0,0,19.373,0.033,19.33,0.022,18.96,0.014,18.83,0.019,18.809,0.048,472261806937604096,,,,,,0.36999999999999744,quasar
151241.67+423031.5,228.173662,42.508773,1.696,18.559,0.02,18.45,0.026,18.377,0.018,18.151,0.017,18.091,0.023,0.094,20.248,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.866,0.041,0,1,1,1,1048578,1,0,0,0,1,0,0,3918,52758,53148,1677,46,41,1,208,65,1048578,1,0,0,0,1,0,0,18.559,0.02,18.45,0.026,18.377,0.018,18.151,0.017,18.091,0.023,472261805058555904,,,,,,0.0730000000000004,quasar
151246.90+414004.0,228.195421,41.66779,1.5607,19.255,0.031,18.955,0.033,18.898,0.016,18.695,0.015,18.72,0.042,0.145,20.228,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.149,-0.045,0,1,1,1,2,1,0,0,0,0,0,0,3664,52681,52735,1291,80,40,5,109,81,2,1,0,0,0,0,0,0,19.185,0.025,19.029,0.057,18.908,0.017,18.694,0.016,18.714,0.039,363610690369355776,,,,,,0.05699999999999861,quasar
151248.64+451213.2,228.202684,45.203673,2.0184,18.668,0.028,18.53,0.016,18.418,0.015,18.303,0.021,18.185,0.028,0.151,20.326,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.14,0.032,0,1,1,1,1048578,1,0,0,0,1,0,0,3177,52402,52721,1050,246,40,2,138,39,1048578,1,0,0,0,1,0,0,18.676,0.027,18.527,0.011,18.426,0.012,18.304,0.016,18.172,0.031,295775161548800000,,,,,,0.11200000000000188,quasar
151249.10+373724.0,228.204608,37.623356,1.5117,20.378,0.057,19.795,0.021,19.328,0.019,18.948,0.017,18.762,0.037,0.079,20.121,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.794,0.545,0,1,1,1,2,1,0,0,0,0,0,0,3926,52760,53172,1399,214,41,2,20,150,2,1,0,0,0,0,0,0,20.383,0.057,19.8,0.025,19.328,0.02,18.938,0.017,18.756,0.039,394011865316851712,,,,,,0.4670000000000023,quasar
151251.99+511059.7,228.21666,51.183255,1.9517,20.97,0.093,20.17,0.024,19.437,0.019,18.89,0.024,18.283,0.038,0.113,20.23,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,17.257,0.232,16.453,0.269,15.369,0.145,0.359,-26.46,1.126,0,1,1,1,1,0,1,0,0,0,0,0,3184,52403,52703,1165,131,40,3,64,89,1,0,1,0,0,0,0,0,20.981,0.093,20.166,0.022,19.45,0.019,18.885,0.027,18.259,0.036,328144706078769152,,,,,,0.7330000000000005,non-quasar
151252.17+521914.2,228.217381,52.320631,1.209,20.158,0.057,19.902,0.027,19.298,0.017,19.151,0.026,19.188,0.065,0.112,20.217,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.074,0.459,0,1,1,1,33554432,0,0,0,0,0,0,0,3184,52403,52703,1165,504,40,5,60,86,2,1,0,0,0,0,0,0,20.169,0.053,19.884,0.026,19.307,0.017,19.144,0.026,19.155,0.066,328144707643244544,,,,,,0.6040000000000028,non-quasar
151254.37-005636.5,228.226551,-0.943498,4.4572,24.906,0.986,23.276,0.191,21.068,0.043,20.077,0.031,19.887,0.081,0.324,20.124,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.184,0.388,0,1,1,1,1,0,1,0,0,0,0,0,2379,52075,52404,923,402,40,6,127,913,1,0,1,0,0,0,0,0,24.702,1.023,23.25,0.191,21.032,0.044,20.059,0.032,19.814,0.077,260026478656225280,,,,,,2.2079999999999984,non-quasar
151254.37+371831.1,228.226563,37.308655,2.7484,20.364,0.045,18.763,0.018,18.619,0.019,18.361,0.013,18.16,0.028,0.083,20.691,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.752,0.28,0,1,1,1,8195,1,1,0,0,0,1,0,3723,52710,53172,1399,210,40,1,35,90,8195,1,1,0,0,0,1,0,20.364,0.045,18.763,0.018,18.619,0.019,18.361,0.013,18.16,0.028,394011865300074496,,,,,,0.1440000000000019,quasar
151256.02-013420.4,228.233442,-1.572341,1.2996,19.485,0.035,19.272,0.046,18.924,0.136,18.848,0.07,18.86,0.058,0.843,20.719,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.846,-0.111,0,1,1,1,2,1,0,0,0,0,0,0,2334,52053,52404,923,492,40,4,216,149,2,1,0,0,0,0,0,0,19.459,0.036,19.287,0.043,18.931,0.142,18.842,0.039,18.914,0.06,260026479033712640,,,,,,0.347999999999999,quasar
151256.31+400325.0,228.234635,40.056952,1.9441,19.544,0.046,19.247,0.032,19.284,0.027,19.062,0.035,18.983,0.063,0.084,20.161,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.268,-0.023,0,1,1,1,1048578,1,0,0,0,1,0,0,3664,52681,52736,1292,251,40,2,115,97,1048578,1,0,0,0,1,0,0,19.53,0.038,19.269,0.051,19.277,0.028,19.091,0.037,18.95,0.068,363892170358259712,,,,,,-0.036999999999999034,quasar
151258.36+352533.2,228.243181,35.425909,2.2358,19.334,0.033,18.909,0.02,18.874,0.021,18.988,0.017,18.945,0.04,0.082,20.152,12.217,351.642,0.074,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.661,-0.141,0,1,1,1,1048586,1,0,1,0,1,0,0,3813,52722,53083,1353,198,41,2,454,25,1048586,1,0,1,0,1,0,0,19.366,0.031,18.943,0.028,18.875,0.02,18.991,0.018,18.971,0.041,381063634068963328,,,,,,0.03500000000000014,quasar
151259.24+554146.2,228.246864,55.696187,1.3178,19.187,0.027,19.356,0.014,19.105,0.019,19.124,0.021,19.224,0.063,0.084,20.155,14.865,28.741,1.137,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.295,-0.054,0,1,1,1,0,0,0,0,0,0,0,0,2326,52052,52370,793,575,41,6,217,76,10,1,0,1,0,0,0,0,19.186,0.025,19.383,0.014,19.116,0.017,19.127,0.023,19.239,0.061,223434586380566528,,,,,,0.2510000000000012,quasar
151300.36+323658.4,228.251526,32.616225,2.4945,19.184,0.029,18.547,0.021,18.229,0.016,18.062,0.016,17.76,0.025,0.095,20.215,0.0,0.0,0.0,1,0,-9.0,0.0,0.0,16.581,0.131,15.891,0.157,15.543,0.1,0.279,-27.839,0.453,0,1,1,1,1,0,1,0,0,0,0,0,3893,52754,53116,1386,294,41,1,411,3,1,0,1,0,0,0,0,0,19.197,0.032,18.572,0.025,18.227,0.017,18.069,0.021,17.766,0.031,390352450436988928,,,,,,0.3180000000000014,quasar
151302.03+344717.1,228.258493,34.788099,1.801,19.948,0.036,19.389,0.026,19.154,0.02,18.823,0.018,18.65,0.031,0.09,20.158,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.332,0.284,0,1,1,1,3,1,1,0,0,0,0,0,3919,52758,53108,1385,614,40,6,156,48,3,1,1,0,0,0,0,0,19.947,0.036,19.389,0.026,19.155,0.02,18.823,0.018,18.65,0.032,390070942442717184,,,,,,0.23499999999999943,quasar
151302.25-014730.5,228.2594,-1.791813,3.1769,23.13,0.476,20.803,0.029,20.394,0.026,20.255,0.033,20.07,0.11,0.803,20.729,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.47,-0.037,0,1,1,1,1,0,1,0,0,0,0,0,2379,52075,52404,923,493,40,4,127,378,1,0,1,0,0,0,0,0,22.985,0.415,20.792,0.031,20.388,0.033,20.245,0.031,20.118,0.112,260026479037906944,,,,,,0.4090000000000025,quasar
151303.53-012420.3,228.264731,-1.405642,1.1328,20.124,0.051,19.783,0.022,19.303,0.018,19.291,0.021,19.163,0.071,0.722,20.713,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.025,0.055,0,1,1,1,2,1,0,0,0,0,0,0,2334,52053,52404,923,483,40,4,216,419,2,1,0,0,0,0,0,0,20.15,0.052,19.777,0.016,19.313,0.021,19.275,0.019,19.178,0.071,260026478995963904,,,,,,0.4800000000000004,quasar
151304.13-013100.1,228.267223,-1.516709,3.1941,22.733,0.423,20.207,0.026,19.911,0.022,19.728,0.026,19.514,0.093,0.818,20.717,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.015,-0.122,0,1,1,1,0,0,0,0,0,0,0,0,2334,52053,52404,923,499,40,4,216,410,1,0,1,0,0,0,0,0,22.81,0.454,20.197,0.02,19.906,0.025,19.729,0.025,19.529,0.093,260026479063072768,,,,,,0.2959999999999994,quasar
151304.56+304204.2,228.269035,30.701186,0.348,16.881,0.02,16.858,0.02,16.902,0.018,17.026,0.043,16.49,0.021,0.112,20.274,0.0,0.0,0.0,0,0,-1.023,5.309,4.91,15.609,0.062,14.763,0.058,13.936,0.054,0.069,-24.187,-0.401,0,1,1,1,7171,1,1,0,1,0,0,0,3900,52755,53149,1649,229,41,2,616,43,7171,1,1,0,1,0,0,0,16.88,0.02,16.858,0.02,16.902,0.018,17.026,0.043,16.49,0.021,464380510773182464,,,,,,-0.04400000000000048,quasar
151306.34+332802.9,228.276425,33.467477,3.7974,25.475,0.486,21.505,0.037,20.247,0.022,20.153,0.034,20.157,0.078,0.093,20.182,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.672,0.114,0,1,1,1,1,0,1,0,0,0,0,0,3919,52758,53108,1385,17,40,3,160,226,1,0,1,0,0,0,0,0,25.475,0.486,21.505,0.037,20.247,0.022,20.154,0.034,20.157,0.078,390070939938717696,,,,,,1.2579999999999991,non-quasar
151309.40+392715.1,228.289204,39.45421,1.6286,19.128,0.028,18.905,0.017,18.882,0.017,18.681,0.017,18.767,0.041,0.081,20.146,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.236,-0.028,0,1,1,1,1048578,1,0,0,0,1,0,0,3699,52704,53172,1399,540,41,6,235,42,1048579,1,1,0,0,1,0,0,19.268,0.031,18.885,0.016,18.922,0.024,18.701,0.021,18.653,0.035,394011866684194816,,,,,,0.022999999999999687,quasar
151311.50+331446.6,228.29794,33.246297,2.1552,19.432,0.032,19.206,0.018,18.984,0.017,19.011,0.022,18.942,0.035,0.074,20.19,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.551,0.061,0,1,1,1,1048578,1,0,0,0,1,0,0,3919,52758,53108,1385,11,40,3,161,48,1048578,1,0,0,0,1,0,0,19.433,0.032,19.206,0.018,18.984,0.017,19.011,0.022,18.943,0.035,390070939913551872,,,,,,0.22199999999999775,quasar
151312.41+451033.8,228.301743,45.176079,2.0097,18.092,0.024,17.952,0.015,17.808,0.014,17.608,0.02,17.454,0.019,0.16,20.326,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,16.45,0.143,17.291,0.1,15.483,0.25,0.43,-27.829,0.121,0,1,1,1,2,1,0,0,0,0,0,0,3177,52402,52721,1050,208,40,2,138,139,3,1,1,0,0,0,0,0,18.101,0.023,17.949,0.01,17.828,0.011,17.617,0.015,17.438,0.023,295775161389416448,,,,,,0.1440000000000019,quasar
151312.67+303542.7,228.302797,30.595207,1.9431,19.13,0.029,19.306,0.022,19.364,0.022,18.982,0.044,18.855,0.039,0.119,20.279,11.655,572.971,0.242,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.361,0.101,0,1,1,1,3145739,1,1,1,0,1,0,0,3900,52755,53149,1649,247,41,2,616,108,3145739,1,1,1,0,1,0,0,19.13,0.029,19.307,0.022,19.364,0.022,18.982,0.044,18.855,0.039,464380510848679936,,,,,,-0.05799999999999983,quasar
151314.91+342111.4,228.312131,34.353173,1.2207,19.154,0.022,18.358,0.017,17.645,0.019,17.567,0.02,17.518,0.019,0.086,20.161,16.066,10.625,0.604,0,0,-9.0,0.0,0.0,16.4,0.122,15.834,0.172,14.849,0.115,0.139,-26.671,0.49,0,1,1,1,2097160,0,0,1,0,1,0,0,3919,52758,53116,1386,364,40,5,157,134,2097160,0,0,1,0,1,0,0,19.154,0.022,18.357,0.017,17.645,0.019,17.567,0.02,17.518,0.019,390352450730590208,,,,,,0.713000000000001,non-quasar
151315.18+520416.7,228.313266,52.07133,3.5861,24.777,0.967,21.18,0.037,20.422,0.024,20.175,0.03,20.388,0.134,0.08,20.23,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.521,-0.059,0,1,1,1,1,0,1,0,0,0,0,0,3225,52434,52703,1165,503,40,4,117,219,1,0,1,0,0,0,0,0,24.827,0.967,21.171,0.039,20.438,0.025,20.168,0.029,20.385,0.134,328144707639050240,,,,,,0.7579999999999991,non-quasar
151316.13+354634.0,228.317241,35.776114,2.247,19.025,0.026,18.62,0.015,18.528,0.016,18.485,0.017,18.162,0.036,0.086,20.149,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.177,0.085,0,1,1,1,3,1,1,0,0,0,0,0,3818,52724,53083,1353,176,41,3,395,64,3,1,1,0,0,0,0,0,19.041,0.021,18.629,0.018,18.534,0.015,18.47,0.023,18.178,0.03,381063633976688640,,,,,,0.0920000000000023,quasar
151317.11+515110.2,228.321309,51.852839,1.5515,18.909,0.027,18.787,0.017,18.712,0.014,18.522,0.016,18.62,0.037,0.076,20.241,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.28,-0.024,0,1,1,1,2,1,0,0,0,0,0,0,3225,52434,52703,1165,516,40,4,118,93,3,1,1,0,0,0,0,0,18.886,0.028,18.78,0.017,18.713,0.014,18.5,0.016,18.603,0.037,328144707693576192,,,,,,0.07499999999999929,quasar
151317.55+424557.2,228.323142,42.765915,4.0896,25.49,0.851,21.74,0.057,20.239,0.027,20.004,0.026,19.972,0.084,0.096,20.258,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.981,-0.012,0,1,1,1,1,0,1,0,0,0,0,0,3918,52758,53148,1677,7,41,2,208,281,1,0,1,0,0,0,0,0,25.49,0.85,21.74,0.057,20.239,0.027,20.003,0.026,19.972,0.084,472261804894978048,,,,,,1.5009999999999977,non-quasar
151319.00+371735.7,228.329184,37.293259,1.503,19.574,0.033,19.245,0.02,18.922,0.021,18.629,0.018,18.63,0.032,0.081,20.127,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.1,0.328,0,1,1,1,134224898,1,0,0,1,0,0,0,3723,52710,53172,1399,206,40,1,36,60,134224898,1,0,0,1,0,0,0,19.575,0.033,19.246,0.02,18.922,0.021,18.629,0.018,18.63,0.032,394011865283297280,,,,,,0.3230000000000004,quasar
151325.90+465408.0,228.357944,46.902238,0.1989,17.701,0.022,17.179,0.022,16.758,0.015,16.326,0.015,16.488,0.013,0.143,20.352,16.043,9.858,0.264,0,0,-9.0,0.0,0.0,14.932,0.044,13.972,0.052,12.835,0.034,0.103,-23.577,0.231,0,1,1,1,11,1,1,1,0,0,0,0,3180,52402,52721,1050,458,40,5,137,73,11,1,1,1,0,0,0,0,17.745,0.014,17.209,0.015,16.774,0.008,16.318,0.014,16.51,0.022,295775162437992448,,,,,,0.4209999999999994,quasar
151326.31+392015.8,228.35964,39.337739,1.6338,19.64,0.035,19.374,0.029,19.287,0.016,19.025,0.021,19.083,0.043,0.087,20.146,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.902,0.088,0,1,1,1,3,1,1,0,0,0,0,0,3723,52710,53172,1399,521,40,5,29,82,3,1,1,0,0,0,0,0,19.641,0.035,19.375,0.029,19.287,0.016,19.026,0.021,19.083,0.043,394011866604503040,,,,,,0.08699999999999974,quasar
151329.07+513812.7,228.371159,51.636865,0.6592,18.621,0.024,18.144,0.023,18.163,0.022,18.143,0.016,18.069,0.04,0.08,20.238,15.154,21.0,1.278,0,0,-1.477,4.53,3.09,16.583,0.137,15.808,0.152,15.153,0.128,0.306,-24.602,-0.028,0,1,1,1,7690,1,0,1,1,0,0,0,3184,52403,52703,1165,157,40,4,63,51,7690,1,0,1,1,0,0,0,18.61,0.027,18.139,0.02,18.167,0.019,18.14,0.016,18.057,0.039,328144706187821056,,,,,,-0.019000000000001904,quasar
151329.62+551433.3,228.373439,55.242609,0.9201,18.784,0.026,18.61,0.016,18.497,0.017,18.6,0.016,18.563,0.035,0.072,20.149,0.0,0.0,0.0,0,0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.952,-0.042,0,1,1,1,1048578,1,0,0,0,1,0,0,2299,52046,52370,793,509,41,5,210,24,1048578,1,0,0,0,1,0,0,18.87,0.024,18.625,0.01,18.497,0.009,18.598,0.014,18.53,0.034,223434586103742464,,,,,,0.11299999999999955,quasar
