galaxy,psp_bic,lcdm_bic,diff
NGC2841,259510.84257370952,273157.99586363725,-13647.153289927723
NGC2903,1932779.8104832252,1947863.674061041,-15083.863577815937
NGC2976,93867677.13128372,93874929.89745238,-7252.766168668866
NGC3031,1181171.285746783,1188487.838677416,-7316.552930633072
NGC3198,2544008.14599283,2576953.3450656384,-32945.19907280849
IC2574,76786286.86517382,76884540.7496806,-98253.88450677693
NGC3521,1525148.259354172,1538555.756258008,-13407.496903836029
NGC3621,5652222.612835228,5684663.951209224,-32441.338373995386
NGC3627,676238.902784936,677512.9040028803,-1274.0012179443147
NGC4736,4798734.965623947,4805946.673970491,-7211.708346543834
DDO154,96789247.2135374,96859658.42971155,-70411.21617415547
NGC4826,7253863.617200154,7284694.998916338,-30831.381716184318
NGC5055,2444009.587261149,2488875.6609794023,-44866.07371825306
NGC6946,3192013.432823455,3213789.841889254,-21776.409065798856
NGC7331,549622.7948885566,558065.0443474837,-8442.24945892708
NGC7793,20239988.63878892,20252437.731665958,-12449.092877037823
CVnIdwA,342930966.7910951,342980687.5393753,-49720.748280227184
DDO_210,9756899672.825983,9756920492.700747,-20819.87476348877
DDO_216,426588880.4374135,426599306.37145066,-10425.934037148952
DDO_53,397589303.1962963,397598391.61416364,-9088.4178673625
DDO_70,504154719.2535409,504179421.46026367,-24702.206722795963
IC_10,140060514.18127763,140061690.022154,-1175.8408763706684
IC_1613,2825979763.9348154,2826270218.8275905,-290454.89277505875
UGC_8508,473388919.00672066,473416812.1657034,-27893.158982753754
WLM,2112235503.575116,2112369725.4159837,-134221.8408677578
F564-V3,63991547.82622232,64004418.24206001,-12870.415837690234
DDO_126,316605504.95106757,316670333.6830124,-64828.73194485903
HARO_29,104191408.56964533,104230432.1318315,-39023.562186166644
DDO_101,37253037.08589431,37256411.33646815,-3374.2505738437176
DDO_133,134262815.98499352,134286726.9053767,-23910.92038318515
NGC_1569,35723728.4871108,35727179.65495873,-3451.167847931385
DDO_43,30260073.932311118,30270482.504557487,-10408.572246368974
HARO_36,16147675.486076815,16150631.98451606,-2956.498439244926
DDO_168,142995421.88848624,143017483.7802709,-22061.89178466797
NGC_2366,155523569.87258705,155629049.69687355,-105479.82428649068
DDO_154,144359587.57171702,144430550.6703845,-70963.0986674726
DDO_87,108747667.89547557,108820893.25747716,-73225.36200159788
DDO_52,26764344.85064239,26782154.616293356,-17809.765650965273
DDO_46,56948648.821498364,56957171.966668785,-8523.145170420408
DDO_47,76661224.8508873,76717409.6686994,-56184.81781210005
NGC_3738,26994316.85219848,26995345.173686437,-1028.321487955749
WALLABY_J094524-480828,7809260.379016242,7815445.559834585,-6185.180818342604
WALLABY_J094944-471059,205315.39267515566,211199.14652552293,-5883.7538503672695
WALLABY_J100036-465940,1013043.5643682206,1019979.6015619452,-6936.037193724536
WALLABY_J100123-434533,540322.4414782516,544804.8854719708,-4482.443993719178
WALLABY_J100239-452950,241629.43177223724,243590.6902232367,-1961.2584509994776
WALLABY_J100342-270137,2588670.7342240573,2598523.728162895,-9852.993938837666
WALLABY_J100351-273417,58574.21024310954,59548.031510278255,-973.8212671687143
WALLABY_J100426-282638,2478766.8560924376,2488299.675337952,-9532.81924551446
WALLABY_J100539-282633,6692280.586292532,6701274.03224477,-8993.445952237584
WALLABY_J100656-450242,166549.0322426481,169108.3692310183,-2559.336988370196
WALLABY_J100748-430145,525461.8246458079,530619.2396681343,-5157.4150223264005
WALLABY_J100916-431959,357594.6253139089,368096.308697002,-10501.6833830931
WALLABY_J100938-255850,414200.23312707985,415212.9304675035,-1012.6973404236487
WALLABY_J101035-254920,1895699.4173145383,1901734.7493581777,-6035.332043639384
WALLABY_J101331-434904,186369.72895389856,188560.0148336057,-2190.2858797071385
WALLABY_J101359-253824,560456.4801819989,564150.984285485,-3694.504103486077
WALLABY_J101441-285221,785521.4848962214,786313.4416393677,-791.9567431462929
WALLABY_J101442-445108,1594794.5267629216,1595518.0839796271,-723.5572167055216
WALLABY_J101448-285723,117873.4833940792,118629.6215965528,-756.138202473594
WALLABY_J101655-485238,195188.84180836755,201048.96535805322,-5860.123549685668
WALLABY_J101941-254852,144640.70405641804,145518.88490793688,-878.1808515188459
WALLABY_J102017-253913,821709.4443514058,826632.3957920312,-4922.951440625358
WALLABY_J103023-302336,1469331.4025717108,1481749.6578570944,-12418.255285383668
WALLABY_J103250-301601,877583.5377225233,881565.4682431382,-3981.930520614842
WALLABY_J103522-244506,6848381.284251612,6859172.926550238,-10791.642298626713
WALLABY_J103523-281855,213067.02458129876,215851.20550416733,-2784.1809228685743
WALLABY_J103651-260227,1070347.5569975816,1072568.805795944,-2221.248798362445
WALLABY_J103653-270311,491364.59884485084,494498.3668374654,-3133.7679926145356
